phage_name,genbank_accession,species,basel_collection
Citrobacter phage phiCFP-1,KP313531.1,autographiviridae,False
Enterobacteria phage T7,NC_001604,autographiviridae,False
Escherichia phage EG1,MG488277.1,autographiviridae,False
Escherichia phage LL2,MH717709.1,autographiviridae,False
Escherichia phage N13,MH717100.1,autographiviridae,False
Escherichia phage PHB20,MN481366.1,autographiviridae,False
Escherichia phage T3K12,NC_047864.1 (T3),autographiviridae,False
Klebsiella phage 117,MN149903.1,autographiviridae,False
Klebsiella phage Emp27,MN013074.1,autographiviridae,False
Klebsiella phage KOX5,MN101218.1,autographiviridae,False
Leclercia phage 10164RH,MF285617.1,autographiviridae,False
Salmonella phage 3A_8767,MH382198.1,autographiviridae,False
Salmonella phage C2,MN026740.1,autographiviridae,False
Salmonella phage LPST144,MN252582.1,autographiviridae,False
Salmonella phage phiSG-JL2,EU547803.1,autographiviridae,False
Serratia phage Pila,MN098329.1,autographiviridae,False
Serratia phage SM9-3Y,KX778611.3,autographiviridae,False
Yersinia pestis phage phiA1122,AY247822.1,autographiviridae,False
Yersinia phage AP5,KM253764.1,autographiviridae,False
Yersinia phage PYPS50,MH809534.1,autographiviridae,False
Escherichia phage CarlSpitteler,MZ501055,autographiviridae,True
Escherichia phage ErnstBeyeler,MZ501064,autographiviridae,True
Escherichia phage JacobBurckhardt,MZ501078,autographiviridae,True
Escherichia phage JeanTinguely,MZ501081,autographiviridae,True
Escherichia phage Gostya9,NC_047979.1,demerecviridae_markadamsvirinae,False
Escherichia phage phiAPCEc03,KR422353.1,demerecviridae_markadamsvirinae,False
Escherichia virus EPS7,CP000917.1,demerecviridae_markadamsvirinae,False
Escherichia virus H8,NC_042307.1,demerecviridae_markadamsvirinae,False
Escherichia virus T5,NC_005859.1,demerecviridae_markadamsvirinae,False
Salmonella phage 118970_sal2,NC_031933.1,demerecviridae_markadamsvirinae,False
Salmonella phage 3-29,MK393882.1,demerecviridae_markadamsvirinae,False
Salmonella phage NR01,KR233164.1,demerecviridae_markadamsvirinae,False
Salmonella phage S124,MH370375.1,demerecviridae_markadamsvirinae,False
Salmonella phage S131,NC_048009.1,demerecviridae_markadamsvirinae,False
Salmonella phage S132,MH370379.1,demerecviridae_markadamsvirinae,False
Salmonella phage S133,MH370380.1,demerecviridae_markadamsvirinae,False
Salmonella phage SE18,MK972717.1,demerecviridae_markadamsvirinae,False
Salmonella phage SE24,MK972707.1,demerecviridae_markadamsvirinae,False
Salmonella phage SE7,MK972708.1,demerecviridae_markadamsvirinae,False
Salmonella phage SH9,MF001363.1,demerecviridae_markadamsvirinae,False
Salmonella phage Seabear,MK728824.1,demerecviridae_markadamsvirinae,False
Salmonella phage Sw2,MH631454.2,demerecviridae_markadamsvirinae,False
Salmonella virus Stitch,KM236244.1,demerecviridae_markadamsvirinae,False
Escherichia phage DaisyDussoix,MZ501058,demerecviridae_markadamsvirinae,True
Escherichia phage GreteKellenberger,MZ501072,demerecviridae_markadamsvirinae,True
Escherichia phage HildyBeyeler,MZ501074,demerecviridae_markadamsvirinae,True
Escherichia phage IrisVonRoten,MZ501075,demerecviridae_markadamsvirinae,True
Escherichia phage IrmaTschudi,MZ501076,demerecviridae_markadamsvirinae,True
Escherichia phage SelmaRatti,MZ501103,demerecviridae_markadamsvirinae,True
Escherichia phage SuperGirl,MZ501105,demerecviridae_markadamsvirinae,True
Escherichia phage TrudiGerster,MZ501108,demerecviridae_markadamsvirinae,True
Escherichia phage TrudiRoth,MZ501109,demerecviridae_markadamsvirinae,True
Citrobacter phage IMEJL8,MT023084.1,drexlerviridae,False
Enterobacteria phage F20,JN672684.1,drexlerviridae,False
Escherichia phage 95,MF564201.1,drexlerviridae,False
Escherichia phage ACG-M12,NC_019404.1,drexlerviridae,False
Escherichia phage ADB-2,JX912252.1,drexlerviridae,False
Escherichia phage CEB_EC3a,KY398841.1,drexlerviridae,False
Escherichia phage CJ19,MT176427.1,drexlerviridae,False
Escherichia phage DTL,MG050172.1,drexlerviridae,False
Escherichia phage ESCO41,NC_047820.1,drexlerviridae,False
Escherichia phage FP,MT682706.1,drexlerviridae,False
Escherichia phage G29_2,NC_049822.1,drexlerviridae,False
Escherichia phage Henu7,MN019128.1,drexlerviridae,False
Escherichia phage Henu8,MN055691.1,drexlerviridae,False
Escherichia phage IME18,NC_047959.1,drexlerviridae,False
Escherichia phage IME253,KX130960.1,drexlerviridae,False
Escherichia phage IME347,MH051918.1,drexlerviridae,False
Escherichia phage IME542,NC_048208.1,drexlerviridae,False
Escherichia phage LL5,NC_047985.1,drexlerviridae,False
Escherichia phage MM01,MK373793.1,drexlerviridae,False
Escherichia phage NBD2,NC_031050.1,drexlerviridae,False
Escherichia phage PHB17,MN090155.1,drexlerviridae,False
Escherichia phage RTP,AM156909.1,drexlerviridae,False
Escherichia phage Rogue1,NC_019718.1,drexlerviridae,False
Escherichia phage SLUR29,LR596614.1,drexlerviridae,False
Escherichia phage SRT8,NC_042043.1,drexlerviridae,False
Escherichia phage T1,NC_005833.1,drexlerviridae,False
Escherichia phage TLS,NC_009540.1,drexlerviridae,False
Escherichia phage herni,NC_049823.1,drexlerviridae,False
Escherichia phage phiEB49,JF770475.1,drexlerviridae,False
Escherichia phage phiJLA23,KC333879.1,drexlerviridae,False
Escherichia phage swan01,LT841304.1,drexlerviridae,False
Klebsiella phage KP36,NC_019781.1,drexlerviridae,False
Shigella phage JK16,MK962751.1,drexlerviridae,False
Shigella phage SH6,KX828710.1,drexlerviridae,False
Shigella phage Sd1,MF158042.1,drexlerviridae,False
Shigella phage Sf12,MF158039.1,drexlerviridae,False
Shigella phage Shfl1,NC_015456.1,drexlerviridae,False
Shigella phage pSf1,KC710998.1,drexlerviridae,False
Escherichia phage AugustePiccard,MZ501051,drexlerviridae,True
Escherichia phage BrunoManser,MZ501053,drexlerviridae,True
Escherichia phage DanielBernoulli,MZ501059,drexlerviridae,True
Escherichia phage FritzSarasin,MZ501069,drexlerviridae,True
Escherichia phage IsaakIselin,MZ501077,drexlerviridae,True
