Phage (name),GenBank accession
Escherichia phage JeanTinguely,MZ501081
Escherichia phage JacobBurckhardt,MZ501078
Escherichia phage T3K12,NC_047864.1 (T3)
Escherichia phage ErnstBeyeler,MZ501064
Escherichia phage CarlSpitteler,MZ501055
Salmonella phage phiSG-JL2,EU547803.1
Yersinia phage AP5,KM253764.1
Citrobacter phage phiCFP-1,KP313531.1
Serratia phage SM9-3Y,KX778611.3
Leclercia phage 10164RH,MF285617.1
Escherichia phage EG1,MG488277.1
Salmonella phage 3A_8767,MH382198.1
Escherichia phage N13,MH717100.1
Escherichia phage LL2,MH717709.1
Yersinia phage PYPS50,MH809534.1
Klebsiella phage Emp27,MN013074.1
Salmonella phage C2,MN026740.1
Serratia phage Pila,MN098329.1
Klebsiella phage KOX5,MN101218.1
Klebsiella phage 117,MN149903.1
Salmonella phage LPST144,MN252582.1
Escherichia phage PHB20,MN481366.1
Enterobacteria phage T7,NC_001604
Yersinia pestis phage phiA1122,AY247822.1
