Phage (name),GenBank accession,species
Escherichia phage AdolfPortmann,MZ501046,myoviridae_tevenvirinae
Escherichia phage AlbertHofmann,MZ501047,myoviridae_tevenvirinae
Escherichia phage AlexBoehm,MZ501048,myoviridae_vequintavirinae_and_relatives
Escherichia phage AlfredRasser,MZ501049,schitoviridae
Escherichia phage AndreasVesalius,MZ501050,myoviridae_tevenvirinae
Escherichia phage AugustePiccard,MZ501051,drexlerviridae
Escherichia phage AugustSocin,MZ501052,myoviridae_tevenvirinae
Escherichia phage BrunoManser,MZ501053,drexlerviridae
Escherichia phage CarlMeissner,MZ501054,myoviridae_vequintavirinae_and_relatives
Escherichia phage CarlSpitteler,MZ501055,autographiviridae
Escherichia phage ChristianSchoenbein,MZ501056,myoviridae_tevenvirinae
Escherichia phage ChristophMerian,MZ501057,siphoviridae_queuovirinae_sonagvirus
Escherichia phage DaisyDussoix,MZ501058,demerecviridae_markadamsvirinae
Escherichia phage DanielBernoulli,MZ501059,drexlerviridae
Escherichia phage DrSchubert,MZ501060,myoviridae_vequintavirinae_and_relatives
Escherichia phage EduardKellenberger,MZ501061,myoviridae_vequintavirinae_and_relatives
Escherichia phage EmilHeitz,MZ501062,myoviridae_vequintavirinae_and_relatives
Escherichia phage EmilieFrey,MZ501063,myoviridae_vequintavirinae_and_relatives
Escherichia phage ErnstBeyeler,MZ501064,autographiviridae
Escherichia phage FelixPlatter,MZ501065,myoviridae_tevenvirinae
Escherichia phage FriedrichMiescher,MZ501066,myoviridae_tevenvirinae
Escherichia phage FriedrichZschokke,MZ501067,myoviridae_tevenvirinae
Escherichia phage FritzHoffmann,MZ501068,siphoviridae_queuovirinae_sonagvirus
Escherichia phage FritzSarasin,MZ501069,drexlerviridae
Escherichia phage GeorgBuechner,MZ501070,siphoviridae_dhillonvirus
Escherichia phage GottfriedDienst,MZ501071,siphoviridae_queuovirinae_seuratvirus
Escherichia phage GreteKellenberger,MZ501072,demerecviridae_markadamsvirinae
Escherichia phage HeinrichReichert,MZ501073,myoviridae_vequintavirinae_and_relatives
Escherichia phage HildyBeyeler,MZ501074,demerecviridae_markadamsvirinae
Escherichia phage IrisVonRoten,MZ501075,demerecviridae_markadamsvirinae
Escherichia phage IrmaTschudi,MZ501076,demerecviridae_markadamsvirinae
Escherichia phage IsaakIselin,MZ501077,drexlerviridae
Escherichia phage JacobBurckhardt,MZ501078,autographiviridae
Escherichia virus JakobBernoulli,MZ501079,drexlerviridae
Escherichia phage JeanPiccard,MZ501080,drexlerviridae
Escherichia phage JeanTinguely,MZ501081,autographiviridae
Escherichia phage JeffSchatz,MZ501082,myoviridae_vequintavirinae_and_relatives
Escherichia phage JohannBauhin,MZ501083,myoviridae_vequintavirinae_and_relatives
Escherichia phage JohannJBalmer,MZ501084,myoviridae_vequintavirinae_and_relatives
Escherichia phage JohannLBurckhardt,MZ501085,drexlerviridae
Escherichia phage JohannRWettstein,MZ501086,myoviridae_ounavirinae
Escherichia phage JulesPiccard,MZ501087,drexlerviridae
Escherichia phage KarlBarth,MZ501088,siphoviridae_dhillonvirus
Escherichia phage KarlGJung,MZ501089,myoviridae_tevenvirinae
Escherichia phage KarlJaspers,MZ501090,drexlerviridae
Escherichia phage KurtStettler,MZ501091,siphoviridae_queuovirinae_seuratvirus
Escherichia phage LeonhardEuler,MZ501092,drexlerviridae
Escherichia phage MaxBurger,MZ501093,myoviridae_vequintavirinae_and_relatives
Escherichia phage MaxTheCat,MZ501094,myoviridae_vequintavirinae_and_relatives
Escherichia phage Oekolampad,MZ501095,siphoviridae_dhillonvirus
Escherichia phage Paracelsus,MZ501096,myoviridae_tevenvirinae
Escherichia phage PaulFeyerabend,MZ501097,siphoviridae_dhillonvirus
Escherichia phage PaulHMueller,MZ501098,myoviridae_tevenvirinae
Escherichia phage PaulSarasin,MZ501099,drexlerviridae
Escherichia phage PaulScherrer,MZ501100,myoviridae_vequintavirinae_and_relatives
Escherichia phage PeterMerian,MZ501101,drexlerviridae
Escherichia phage RudolfGeigy,MZ501102,myoviridae_vequintavirinae_and_relatives
Escherichia phage SelmaRatti,MZ501103,demerecviridae_markadamsvirinae
Escherichia phage SeppeHuegi,MZ501104,siphoviridae_queuovirinae_seuratvirus
Escherichia phage SuperGirl,MZ501105,demerecviridae_markadamsvirinae
Escherichia phage TadeuszReichstein,MZ501106,myoviridae_tevenvirinae
Escherichia phage TheodorHerzl,MZ501107,siphoviridae_dhillonvirus
Escherichia phage TrudiGerster,MZ501108,demerecviridae_markadamsvirinae
Escherichia phage TrudiRoth,MZ501109,demerecviridae_markadamsvirinae
Escherichia phage VogelGryff,MZ501110,siphoviridae_queuovirinae_seuratvirus
Escherichia phage WalterGehring,MZ501111,myoviridae_vequintavirinae_and_relatives
Escherichia phage WildeMaa,MZ501112,siphoviridae_queuovirinae_seuratvirus
Escherichia phage WilhelmHis,MZ501113,myoviridae_tevenvirinae
