Phage (name),GenBank accession
Escherichia phage GreteKellenberger,MZ501072
Escherichia phage TrudiGerster,MZ501108
Escherichia phage IrmaTschudi,MZ501076
Escherichia phage SuperGirl,MZ501105
Escherichia phage TrudiRoth,MZ501109
Escherichia phage DaisyDussoix,MZ501058
Escherichia phage IrisVonRoten,MZ501075
Escherichia phage HildyBeyeler,MZ501074
Escherichia phage SelmaRatti,MZ501103
Escherichia virus EPS7,CP000917.1
Escherichia virus T5,NC_005859.1
Escherichia phage phiAPCEc03,KR422353.1
Escherichia phage Gostya9,NC_047979.1
Escherichia virus H8,NC_042307.1
Salmonella phage 3-29,MK393882.1
Salmonella phage 118970_sal2,NC_031933.1
Salmonella phage NR01,KR233164.1
Salmonella phage S124,MH370375.1
Salmonella phage S131,NC_048009.1
Salmonella phage S132,MH370379.1
Salmonella phage S133,MH370380.1
Salmonella phage SE7,MK972708.1
Salmonella phage SE18,MK972717.1
Salmonella phage SE24,MK972707.1
Salmonella phage Seabear,MK728824.1
Salmonella phage SH9,MF001363.1
Salmonella virus Stitch,KM236244.1
Salmonella phage Sw2,MH631454.2
