Phage (name),GenBank accession
Escherichia phage AugustePiccard,MZ501051
Escherichia phage JeanPiccard,MZ501080
Escherichia phage JulesPiccard,MZ501087
Escherichia phage FritzSarasin,MZ501069
Escherichia phage PeterMerian,MZ501101
Escherichia phage KarlJaspers,MZ501090
Escherichia virus JakobBernoulli,MZ501079
Escherichia phage DanielBernoulli,MZ501059
Escherichia phage PaulSarasin,MZ501099
Escherichia phage IsaakIselin,MZ501077
Escherichia phage JohannLBurckhardt,MZ501085
Escherichia phage BrunoManser,MZ501053
Escherichia phage LeonhardEuler,MZ501092
Escherichia phage RTP,AM156909.1
Escherichia phage phiEB49,JF770475.1
Enterobacteria phage F20,JN672684.1
Escherichia phage ADB-2,JX912252.1
Escherichia phage phiJLA23,KC333879.1
Shigella phage pSf1,KC710998.1
Escherichia phage IME253,KX130960.1
Shigella phage SH6,KX828710.1
Escherichia phage CEB_EC3a,KY398841.1
Escherichia phage SLUR29,LR596614.1
Escherichia phage swan01,LT841304.1
Shigella phage Sf12,MF158039.1
Shigella phage Sd1,MF158042.1
Escherichia phage 95,MF564201.1
Escherichia phage DTL,MG050172.1
Escherichia phage IME347,MH051918.1
Escherichia phage MM01,MK373793.1
Shigella phage JK16,MK962751.1
Escherichia phage Henu7,MN019128.1
Escherichia phage Henu8,MN055691.1
Escherichia phage PHB17,MN090155.1
Citrobacter phage IMEJL8,MT023084.1
Escherichia phage CJ19,MT176427.1
Escherichia phage FP,MT682706.1
Escherichia phage T1,NC_005833.1
Escherichia phage TLS,NC_009540.1
Shigella phage Shfl1,NC_015456.1
Escherichia phage ACG-M12,NC_019404.1
Escherichia phage Rogue1,NC_019718.1
Klebsiella phage KP36,NC_019781.1
Escherichia phage NBD2,NC_031050.1
Escherichia phage SRT8,NC_042043.1
Escherichia phage ESCO41,NC_047820.1
Escherichia phage IME18,NC_047959.1
Escherichia phage LL5,NC_047985.1
Escherichia phage IME542,NC_048208.1
Escherichia phage G29_2,NC_049822.1
Escherichia phage herni,NC_049823.1
