Phage (name),GenBank accession
Escherichia phage JohannRWettstein,MZ501086
Citrobacter phage Moogle,NC_027293.1
Enterobacteria phage Felix O1,NC_005282.1
Enterobacteria phage IME338,MH051914.1
Enterobacteria phage WV8,EU877232.1
Enterobacteriaphage UAB_Phi87,JN225449.1
Erwinia amylovora phage phiEa104,FQ482083.1
Escherichia phage EC6,JX560968.1
Escherichia phage JH2,KF055347.1
Escherichia phage mistaenkt,MN850587.1
Escherichia phage SUSP1,NC_028808.2
Salmonella phage Mushroom,NC_041923.1
Shigella phage Sf14,NC_042075.1
