Phage (name),GenBank accession
Escherichia phage CarlMeissner,MZ501054
Escherichia phage EmilHeitz,MZ501062
Escherichia phage DrSchubert,MZ501060
Escherichia phage WalterGehring,MZ501111
Escherichia phage RudolfGeigy,MZ501102
Escherichia phage JohannBauhin,MZ501083
Escherichia phage MaxBurger,MZ501093
Escherichia phage JeffSchatz,MZ501082
Escherichia phage AlexBoehm,MZ501048
Escherichia phage MaxTheCat,MZ501094
Escherichia phage HeinrichReichert,MZ501073
Escherichia phage EduardKellenberger,MZ501061
Escherichia phage PaulScherrer,MZ501100
Escherichia phage EmilieFrey,MZ501063
Escherichia phage JohannJBalmer,MZ501084
Enterobacteria phage FV3,JQ031132.1
Escherichia phage APCEc02,KR698074.1
Enterobacteria phage ECGD1,KU522583.1
Escherichia phage ESCO5,KX664695.2
Escherichia phage slur12,LN881735.1
Escherichia phage PDX,MG963916.1
Escherichia phage ukendt,MN850565.1
Escherichia phage inny,MN850601.1
Escherichia phage outra,MN850645.1
Escherichia phage LL12,MH491969.1
Escherichia phage Pr121LW,MH752840.1
Escherichia phage HdK5,MK373780.1
Escherichia phage Schickermooser,MK373788.1
Shigella phage CM1,MK962749.1
Escherichia phage muut,MN850573.1
Escherichia phage rv5,NC_011041.1
Escherichia phage phAPEC8,NC_020079.1
Escherichia phage 2 JES-2013,NC_022323.1
Enterobacteria phage phi92,NC_023693.1
Escherichia phage Murica,NC_041871.1
