Phage (name),GenBank accession
Escherichia phage AlfredRasser,MZ501049
Escherichia virus N4,NC_008720.1
Escherichia phage phi G17,MH358458.1
Klebsiella phage KP8,MG922974.1
Escherichia phage PMBT57,MG770228.1
Escherichia phage St11Ph5,MG208881.1
Pseudomonas phage inbricus,MG018928.1
Escherichia phage Bp4,KJ135004.2
Achromobacter phage JWAlpha,KF787095.1
Shigella phage pSb-1,KF620435.1
Escherichia phage PhAPEC7,KF562340.1
Escherichia phage PhAPEC5,KF192075.1
Escherichia phage IME11,JX880034.1
Escherichia phage ECBP1,JX415535.1
Escherichia phage G7C,HQ259105.1
