Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OX659366,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-04-01
OX659431,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX659679,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-23
OX660053,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.57,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-21
OX660113,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.69,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX660139,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX660192,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.157,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-31
OX660201,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX660235,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,A,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX660289,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-28
OX660316,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.69,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX660640,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,A.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-31
OX660674,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.69,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX660732,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-27
OX660754,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-24
