Phage (name),GenBank accession
Escherichia phage TheodorHerzl,MZ501107
Escherichia phage PaulFeyerabend,MZ501097
Escherichia phage GeorgBuechner,MZ501070
Escherichia phage KarlBarth,MZ501088
Escherichia phage Oekolampad,MZ501095
Shigella phage EP23,JN984867.1
Escherichia phage Envy,KX534335.1
Escherichia phage Pride,KX534341.1
Escherichia phage slur06,LN881731.1
Escherichia phage PTXU06,MK373789.1
Escherichia phage WFI,MK373791.1
Escherichia phage bob,MN850628.1
Escherichia phage jat,MN850650.1
Escherichia virus JL1,NC_019419.2
Escherichia phage HK578,NC_019724.1
Escherichia phage YD-2008.s,NC_027383.1
