Phage (name),GenBank accession
Escherichia phage GottfriedDienst,MZ501071
Escherichia phage KurtStettler,MZ501091
Escherichia phage WildeMaa,MZ501112
Escherichia phage SeppeHuegi,MZ501104
Escherichia phage VogelGryff,MZ501110
Escherichia phage Seurat,KM236243.1
Escherichia phage CAjan,KP064094.1
Escherichia phage Greed,KX534337.1
Escherichia phage slur01,LN881725.1
Escherichia phage SLUR76,LR025195.1
Escherichia phage SLUR63,LR025196.1
Escherichia phage SLUR75,LR025197.1
Aeromonas phage SD04,MH230177.1
Escherichia phage Skure,MK672798.1
